title,body,repo,url
MockResponse.getheaders() has two bugs: missing return and nonexistent method call,"## Summary

`MockResponse.getheaders(name)` in `src/requests/cookies.py` has been silently broken since it was introduced. There are two distinct bugs in the same line:

```python
def getheaders(self, name):
    self._headers.getheaders(name)   # line 121
```

1. **Missing `return` statement** -- the result is discarded; `None` is always returned to every caller.
2. **Nonexistent method** -- `self._headers` is an `http.client.HTTPMessage` instance (which inherits from `email.message.Me",psf/requests,https://github.com/psf/requests/issues/7231
Dependency warning,"<!-- Summary. -->

There was an update of chardet to 6.0.0.post1 yesterday. Since chardet is not a dependency of requests I did not expect problems with this. 

<!-- What happened instead. -->

requests shows a warning in logs: ""RequestsDependencyWarning: urllib (2.6.3) or chardet (6.0.0.post1)/charset_normalizer (3.4.4) doesn't match a supported version!"" 

## System Information

Windows 11 
Python 3.13.12 
requests 2.35.5 
",psf/requests,https://github.com/psf/requests/issues/7222
chardet 6 triggers RequestsDependencyWarning on stderr,"<!-- Summary. -->

chardet 6.0.0 was just released, but requests only supports < 6.

This just broke our CI with:

```
/opt/hostedtoolcache/Python/3.12.12/x64/lib/python3.12/site-packages/requests/__init__.py:113:

RequestsDependencyWarning: urllib3 (2.6.3) or chardet (6.0.0dev0)/charset_normalizer (3.4.4) doesn't match a supported version!\n""
```

I also reported that strange ""dev0"" to the chardet project, that shouldn't be there when just doing ""pip install chardet"".

CI log: https://github.co",psf/requests,https://github.com/psf/requests/issues/7219
`chardet` is preferred over explicit dependency `charset_normalizer`,"Requests depends explicitly on `charset_normalizer>=2,<4`. However when `chardet` happens to be installed, it is used instead, leading to observably different behavior when a response without explicit charset is parsed.

## Expected Result

`requests` should prefer its own explicit dependency `charset_normalizer`, which by virtue of being an explicit dependency, would be assumed to always be installed.

## Actual Result

`requests` prefers to use `chardet`, if it happens to be installed.

## Rep",psf/requests,https://github.com/psf/requests/issues/7198
MCP-test,This is an example payload for creating a GitHub issue via MCP,psf/requests,https://github.com/psf/requests/issues/7182
"AttributeError when passing None to utility functions (get_encoding_from_headers, parse_header_links)","## Summary

Several utility functions in `requests.utils` crash with `AttributeError` when passed `None` instead of returning a sensible default or raising a clear `TypeError`. This can cause unexpected crashes in application code that doesn't defensively check for `None` before calling these functions.

## Affected Functions

### 1. `get_encoding_from_headers(None)`

```python
>>> from requests.utils import get_encoding_from_headers
>>> get_encoding_from_headers(None)
AttributeError: 'NoneType'",psf/requests,https://github.com/psf/requests/issues/7177
[TEST SUB-TASK 2] Add async documentation,Sub-task 2: Document async usage patterns,psf/requests,https://github.com/psf/requests/issues/7172
[TEST SUB-TASK 1] Implement basic async support,Sub-task 1: Implement basic async/await patterns,psf/requests,https://github.com/psf/requests/issues/7171
[TEST] Exploring issue management workflow,This is a test issue created to explore GitHub issue management tools and workflows. This will be closed immediately.,psf/requests,https://github.com/psf/requests/issues/7170
`timeout` is not a true end-to-end timeout (causes confusion + bugs),"### Problem
Most users assume `timeout` means **total request time**.  
In Requests, that’s not true.

What `timeout` actually does:
- single float → applies to **connect + read**
- tuple → `(connect, read)`

What it **does NOT** cover:
- DNS resolution  
- connection-pool wait  
- redirects / retries  
- SSL handshake  
- request upload  
- full response download  

**Result:** requests can run way longer than expected → subtle bugs, stuck workers, and repeated support questions.

---

### Prop",psf/requests,https://github.com/psf/requests/issues/7169
Crash bug,App crashes on timeout,psf/requests,https://github.com/psf/requests/issues/7167
Crash bug,App crashes on timeout,psf/requests,https://github.com/psf/requests/issues/7166
Crash bug,App crashes on timeout,psf/requests,https://github.com/psf/requests/issues/7165
Crash bug,App crashes on timeout,psf/requests,https://github.com/psf/requests/issues/7164
Crash bug,App crashes on timeout,psf/requests,https://github.com/psf/requests/issues/7163
Crash bug,App crashes on timeout,psf/requests,https://github.com/psf/requests/issues/7162
Crash bug,App crashes on timeout,psf/requests,https://github.com/psf/requests/issues/7161
Crash bug,App crashes on timeout,psf/requests,https://github.com/psf/requests/issues/7160
Clarify recommended debug workflow in Quickstart documentation,"While reviewing the Quickstart documentation (https://flask.palletsprojects.com/en/stable/quickstart/#debug-mode), I noticed that debug mode is discussed but the distinction between using `app.run(debug=True)` and the recommended `flask run --debug` CLI flag is not clearly emphasized.

Many external tutorials still reference `app.run(debug=True)`, and new users may not understand when to use the CLI flag versus enabling debug mode directly in application code.

It may be helpful to clarify:

- T",pallets/flask,https://github.com/pallets/flask/issues/5936
"[Security] Default session HMAC digest should be SHA-256, not SHA-1","## Summary

Flask's `SecureCookieSessionInterface` uses SHA-1 as the default HMAC digest for signing session cookies. SHA-1 has been deprecated by NIST (since 2011) and is no longer recommended for cryptographic use.

## Location

`src/flask/sessions.py`, line 293:

```python
digest_method = staticmethod(_lazy_sha1)
",pallets/flask,https://github.com/pallets/flask/issues/5934
Add a built-in is_safe_redirect() helper to handle browser URL normalization (backslash → forward slash),"Modern browsers normalize backslashes in navigation URLs (e.g., `\\evil.com`) into forward slashes (`//evil.com`). This creates a discrepancy between how Flask/Werkzeug evaluates redirect targets and how user agents ultimately interpret them.

A common pattern used by Flask developers to prevent protocol-relative redirects is:

```python
if not url.startswith(""//""):
    return redirect(url)
```

However, the following payload bypasses this logic:

```
\\evil.com
```

Flask/Werkzeug evaluates thi",pallets/flask,https://github.com/pallets/flask/issues/5933
Add configurable JSON parsing limits and preprocessing hook,"Description
Flask currently parses JSON input using json.loads() without providing an application-level mechanism to enforce payload size limits or preprocess raw JSON before deserialization.
This feature would introduce configuration settings such as:
•⁠  ⁠JSON_MAX_STRING_LENGTH – to reject JSON payloads exceeding a defined size before parsing.
•⁠  ⁠JSON_PREPROCESS_RAW – to allow an optional callable to preprocess raw JSON text before json.loads() is executed.

Example of the Problem This Would",pallets/flask,https://github.com/pallets/flask/issues/5932
.,.,pallets/flask,https://github.com/pallets/flask/issues/5929
llm junk,LLM junk removed,pallets/flask,https://github.com/pallets/flask/issues/5919
`provide_automatic_options` is weird,"While dealing with trying to detect duplicate routes in https://github.com/pallets/werkzeug/issues/3105, I ran into an issue with Flask, which adds `OPTIONS` to every single rule by default.

I started looking into Flask's `provide_automatic_options` feature, and it's just weird.

- Why is there a `PROVIDE_AUTOMATIC_OPTIONS` config? What benefit is there to turning `OPTIONS` off at all, let alone configuring it for a given deployment.
- Flask adds `OPTIONS` to every route, then has a check that ",pallets/flask,https://github.com/pallets/flask/issues/5916
Support for all methods in @app.route,"By default, `@app.route` sets `methods` to support only `GET` requests and the [documentation](https://flask.palletsprojects.com/en/stable/api/#flask.Flask.route) suggests that the parameters are then passed to `Rule`, where `methods=None` allows all methods to be used. In reality, even explicit `None` is treated as a default value and gets overwritten by `[""GET""]`. I suggest adding a way to allow all methods by explicitly passing `None`.

This feature would allow more direct control over `Rule`",pallets/flask,https://github.com/pallets/flask/issues/5915
Config.from_file() missing ENOTDIR in silent error handling,"## Description

`Config.from_file()` is missing `errno.ENOTDIR` in its silent error handling, while `Config.from_pyfile()` correctly includes it.

In `from_pyfile` (line ~193):
```python
if silent and e.errno in (errno.ENOENT, errno.EISDIR, errno.ENOTDIR):
```

In `from_file` (line ~239):
```python
if silent and e.errno in (errno.ENOENT, errno.EISDIR):
```

The `ENOTDIR` case was added to `from_pyfile` in PR #2581 (fixing issue #2545), but the fix was never applied to `from_json` (now `from_file",pallets/flask,https://github.com/pallets/flask/issues/5912
Internal refactor: simplify response tuple unpacking in make_response in app.py,"This is an internal, non-user-facing refactor.

The `make_response` method currently contains inline logic to unpack
response tuples with different valid shapes. While this logic is correct,
it is dense and increases cognitive load in an already large method.

Refactoring this logic into a small private helper would improve
readability and long-term maintainability without changing behavior.

The current tuple unpacking logic handles multiple valid forms
((body, status, headers), (body, status),",pallets/flask,https://github.com/pallets/flask/issues/5907
Improve alt text for Debug Mode interactive debugger image (accessibility),"
In the Flask documentation section [“Debug Mode”](https://flask.palletsprojects.com/en/stable/quickstart/#debug-mode), there is an image demonstrating the interactive debugger with the following markup:
```
<img alt=""The interactive debugger in action.""
     class=""screenshot align-center""
     src=""../_images/debugger.png"">  
```
The alt text is very generic and does not clearly describe the content or purpose of the image.
For users who rely on screen readers, the current alt text does not co",pallets/flask,https://github.com/pallets/flask/issues/5902
